model,task,run_id,metric,value
gradient_boosting,regression,20260919_180037,mae,15932.272119361221
gradient_boosting,regression,20260919_180037,rmse,26367.22115792624
gradient_boosting,regression,20260919_180037,r2,0.9093610450440087
gradient_boosting,regression,20260919_180037,rmsle,0.1364356048623695
svr,regression,20260919_180104,mae,45997.12127011472
svr,regression,20260919_180104,rmse,77427.48728789978
svr,regression,20260919_180104,r2,0.21841449427528536
svr,regression,20260919_180104,rmsle,0.3534918576195811
mlp,regression,20260919_180152,mae,21396.91826199926
mlp,regression,20260919_180152,rmse,37227.45920533208
mlp,regression,20260919_180152,r2,0.8193188032099488
mlp,regression,20260919_180152,rmsle,0.16394192513332942
pytorch_mlp,regression,20260919_180218,mae,16385.03515625
pytorch_mlp,regression,20260919_180218,rmse,28057.8499532662
pytorch_mlp,regression,20260919_180218,r2,0.897365152835846
pytorch_mlp,regression,20260919_180218,rmsle,0.13540696495551482
logistic_regression,classification,20260919_180004,roc_auc,0.9798742728466879
logistic_regression,classification,20260919_180004,accuracy,0.9212328767123288
